,"('k6a 0',)","('k6a 1',)","('k6a 2',)","('k6a 3',)","('k6a 4',)",k6a 0_pred,k6a 1_pred,k6a 2_pred,k6a 3_pred,k6a 4_pred
3865,0.5232,0.3386,0.1098,0.0239,0.004,0.5244197,0.3367247,0.11021065,0.0,0.0
3866,0.5232,0.3386,0.1098,0.0239,0.004,0.52373594,0.336844,0.110124074,0.0,0.0
3867,0.9307,0.0669,0.0024,0.0001,0.0,0.93080354,0.06707918,0.0,0.0,0.0
3868,0.9307,0.0669,0.0024,0.0001,0.0,0.931243,0.066550374,0.0,0.0,0.0
3869,0.9307,0.0669,0.0024,0.0001,0.0,0.9319515,0.06647475,0.0021271743,0.0,0.0
3870,0.5232,0.3386,0.1098,0.0239,0.004,0.52403414,0.33743843,0.110603005,0.0,0.0
3871,0.9307,0.0669,0.0024,0.0001,0.0,0.9405487,0.06034499,0.0,0.0,0.0
3872,0.9307,0.0669,0.0024,0.0001,0.0,0.929286,0.06748892,0.0,0.0,0.0
3873,0.5232,0.3386,0.1098,0.0239,0.004,0.52306575,0.3381777,0.10953044,0.0,0.0
3874,0.9307,0.0669,0.0024,0.0001,0.0,0.9290618,0.06721067,0.0029021893,0.0,0.0
3875,0.9307,0.0669,0.0024,0.0001,0.0,0.92971647,0.062989324,0.0,0.0,0.0
3876,0.5232,0.3386,0.1098,0.0239,0.004,0.5227325,0.33830374,0.10999677,0.0,0.0
3877,0.9307,0.0669,0.0024,0.0001,0.0,0.93228394,0.06622133,0.0019753706,0.0,0.0
