,"('k1 0',)","('k1 1',)","('k1 2',)","('k1 3',)","('k1 4',)",k1 0_pred,k1 1_pred,k1 2_pred,k1 3_pred,k1 4_pred
4514,0.9686,0.0309,0.0005,0.0,0.0,0.9678045,0.02972243,0.0,0.0,0.0
4515,0.7501,0.2155,0.031,0.003,0.0002,0.75645703,0.20305112,0.0,0.0,0.0
4516,0.7501,0.2155,0.031,0.003,0.0002,0.7501572,0.21518424,0.0,0.0,0.0
4517,0.7501,0.2155,0.031,0.003,0.0002,0.75227135,0.21192667,0.0,0.0,0.0
4518,0.7501,0.2155,0.031,0.003,0.0002,0.7457062,0.21376444,0.0,0.0026705042,0.0
4519,0.9686,0.0309,0.0005,0.0,0.0,0.96458256,0.033228863,0.0,0.0,0.0
4520,0.9686,0.0309,0.0005,0.0,0.0,0.96897787,0.028339889,0.0,0.0,0.0
4521,0.7501,0.2155,0.031,0.003,0.0002,0.7494863,0.21668129,0.0,0.0,0.0
4522,0.9686,0.0309,0.0005,0.0,0.0,0.96647865,0.030528843,0.0,0.0,0.0
4523,0.9686,0.0309,0.0005,0.0,0.0,0.9669118,0.027209595,0.0,0.0,0.0
4524,0.7501,0.2155,0.031,0.003,0.0002,0.7496719,0.21606457,0.0,0.0,0.0
4525,0.9686,0.0309,0.0005,0.0,0.0,0.9679717,0.029054876,0.0,0.0,0.0
4526,0.9686,0.0309,0.0005,0.0,0.0,0.9614703,0.03630064,0.0,0.0,0.0
4527,0.9686,0.0309,0.0005,0.0,0.0,0.9678469,0.02852979,0.0,0.0,0.0
4528,0.9686,0.0309,0.0005,0.0,0.0,0.9680476,0.02895268,0.0,0.0,0.0
4529,0.9686,0.0309,0.0005,0.0,0.0,0.96176565,0.036871485,0.0,0.0,0.0
4530,0.7501,0.2155,0.031,0.003,0.0002,0.74643916,0.2162536,0.0,0.0,0.0
4531,0.9686,0.0309,0.0005,0.0,0.0,0.9592585,0.039645888,0.0,0.0,0.0
4532,0.9686,0.0309,0.0005,0.0,0.0,0.9679267,0.029731218,0.0,0.0,0.0
4533,0.7501,0.2155,0.031,0.003,0.0002,0.74711186,0.21535368,0.0,0.0,0.0
4534,0.7501,0.2155,0.031,0.003,0.0002,0.746966,0.21738154,0.0,0.0,0.0
4535,0.9686,0.0309,0.0005,0.0,0.0,0.9606651,0.036529344,0.0,0.0,0.0
4536,0.9686,0.0309,0.0005,0.0,0.0,0.9673519,0.028812356,0.0,0.0,0.0
4537,0.7501,0.2155,0.031,0.003,0.0002,0.75009745,0.21526638,0.0,0.0,0.0
4538,0.7501,0.2155,0.031,0.003,0.0002,0.7497367,0.21570404,0.0,0.0,0.0
4539,0.7501,0.2155,0.031,0.003,0.0002,0.7503716,0.21500582,0.0,0.0,0.0
4540,0.9686,0.0309,0.0005,0.0,0.0,0.9591893,0.027348801,0.0,0.0,0.0
4541,0.9686,0.0309,0.0005,0.0,0.0,0.967324,0.031103998,0.0,0.0,0.0
4542,0.7501,0.2155,0.031,0.003,0.0002,0.75009227,0.21520652,0.0,0.0,0.0
4543,0.9686,0.0309,0.0005,0.0,0.0,0.96790993,0.029402256,0.0,0.0,0.0
4544,0.7501,0.2155,0.031,0.003,0.0002,0.7449649,0.21943767,0.0,0.00645905,0.0
4545,0.9686,0.0309,0.0005,0.0,0.0,0.9679673,0.029068407,0.0,0.0,0.0
4546,0.9686,0.0309,0.0005,0.0,0.0,0.9586009,0.027485885,0.0,0.0,0.0
4547,0.9686,0.0309,0.0005,0.0,0.0,0.966439,0.030532215,0.0,0.0,0.0
4548,0.9686,0.0309,0.0005,0.0,0.0,0.96679443,0.03285487,0.0,0.0,0.0
