,,Energy,Intensity
spectrum44,2,-0.108,13.994149900000002
spectrum44,3,-0.022,4.89817411
spectrum44,4,0.2,26.4597643
spectrum44,5,0.372,3.79737039
spectrum44,6,0.48,26.0400421
spectrum44,7,0.828,14.2195197
spectrum44,8,0.87,13.823670199999999
spectrum45,0,-0.922,2.30366386
spectrum45,1,-0.776,5.28197998
spectrum45,2,-0.702,6.9935378
spectrum45,3,-0.624,3.36414794
spectrum45,4,-0.49,6.81235476
spectrum45,5,-0.42,6.693607
spectrum45,6,-0.272,1.34835894
spectrum45,7,-0.174,5.72278322
spectrum45,8,-0.076,4.30906173
spectrum45,9,-0.03,3.7447975
spectrum45,10,0.112,6.17113657
spectrum45,11,0.208,3.95974863
spectrum45,12,0.278,3.11631265
spectrum45,13,0.452,5.84447595
spectrum45,14,0.498,3.86230797
spectrum45,15,0.538,3.29181976
spectrum45,16,0.59,5.23965818
spectrum45,17,0.73,8.31683471
spectrum45,18,0.818,2.81652493
spectrum45,19,0.868,4.37356446
spectrum46,0,-0.69,3.72704431
spectrum46,1,-0.574,23.935586800000003
spectrum46,2,-0.28,2.78952523
spectrum46,3,-0.046,10.7744422
spectrum46,4,0.036,14.5581793
spectrum46,5,0.594,11.2116312
spectrum46,6,0.66,14.4353669
spectrum47,0,-0.874,1.29261627
spectrum47,1,-0.772,5.84934546
spectrum47,2,-0.736,6.95319152
spectrum47,3,-0.628,3.87615013
spectrum47,4,-0.492,6.23176189
spectrum47,5,-0.424,6.7986851
spectrum47,6,-0.338,2.07818974
spectrum47,7,-0.26,1.35776203
spectrum47,8,-0.17,5.91103259
spectrum47,9,-0.106,4.8949492
spectrum47,10,-0.03,3.66823931
spectrum47,11,0.122,6.237994
spectrum47,12,0.204,4.06709876
spectrum47,13,0.272,3.24046869
spectrum47,14,0.454,5.99669228
spectrum47,15,0.508,4.05718363
spectrum47,16,0.588,5.11668069
spectrum47,17,0.736,7.52334997
spectrum47,18,0.81,2.55074832
spectrum47,19,0.864,4.31340131
spectrum47,20,0.906,2.51379743
spectrum48,0,-0.932,1.96510819
spectrum48,1,-0.876,1.2997526
spectrum48,2,-0.774,5.05196932
spectrum48,3,-0.702,6.85982923
spectrum48,4,-0.628,3.74622979
spectrum48,5,-0.488,6.54051825
spectrum48,6,-0.424,6.71887968
spectrum48,7,-0.342,1.99011578
spectrum48,8,-0.258,1.25615362
spectrum48,9,-0.17,5.81047403
spectrum48,10,-0.076,4.52375401
spectrum48,11,-0.034,3.95416788
spectrum48,12,0.042,3.12280313
spectrum48,13,0.134,5.15393658
spectrum48,14,0.206,4.28571095
spectrum48,15,0.278,2.84374606
spectrum48,16,0.454,5.86994875
spectrum48,17,0.51,4.17083945
spectrum48,18,0.588,5.23627027
spectrum48,19,0.67,3.77191806
spectrum48,20,0.726,5.60270257
spectrum48,21,0.812,2.62422057
spectrum48,22,0.864,4.26721616
spectrum49,0,-0.694,3.47835295
spectrum49,1,-0.57,22.1417817
spectrum49,2,-0.274,2.68097187
spectrum49,3,-0.05,10.772540800000002
spectrum49,4,0.038,14.1676693
spectrum49,5,0.592,11.6131274
spectrum49,6,0.662,14.3762684
spectrum50,0,-0.932,1.96537399
spectrum50,1,-0.876,1.30007186
spectrum50,2,-0.774,5.05222527
spectrum50,3,-0.702,6.86012117
spectrum50,4,-0.628,3.74619939
spectrum50,5,-0.488,6.54015059
spectrum50,6,-0.424,6.71905206
spectrum50,7,-0.342,1.99072026
spectrum50,8,-0.258,1.25646992
spectrum50,9,-0.17,5.81001193
spectrum50,10,-0.076,4.52365776
spectrum50,11,-0.034,3.95465966
spectrum50,12,0.042,3.12240656
spectrum50,13,0.134,5.15505635
spectrum50,14,0.206,4.28506873
spectrum50,15,0.278,2.84293783
spectrum50,16,0.454,5.86947862
spectrum50,17,0.51,4.17207971
spectrum50,18,0.588,5.23636456
spectrum50,19,0.67,3.77141661
spectrum50,20,0.726,5.60323869
spectrum50,21,0.812,2.62305003
spectrum50,22,0.864,4.26713696
spectrum51,0,-0.932,1.98782736
spectrum51,1,-0.874,1.29229105
spectrum51,2,-0.772,5.84945355
spectrum51,3,-0.736,6.95539875
spectrum51,4,-0.628,3.87463054
spectrum51,5,-0.492,6.23158725
spectrum51,6,-0.424,6.79926369
spectrum51,7,-0.338,2.07574722
spectrum51,8,-0.26,1.35732449
spectrum51,9,-0.17,5.91216183
spectrum51,10,-0.106,4.90169853
spectrum51,11,-0.03,3.66974142
spectrum51,12,0.122,6.23592729
spectrum51,13,0.204,4.06866159
spectrum51,14,0.272,3.24088243
spectrum51,15,0.454,5.99107792
spectrum51,16,0.508,4.05792693
spectrum51,17,0.588,5.11286758
spectrum51,18,0.736,7.52273593
spectrum51,19,0.81,2.5502833
spectrum51,20,0.864,4.31417204
spectrum51,21,0.906,2.51550233
spectrum52,0,-0.69,3.72696791
spectrum52,1,-0.574,23.938511600000002
spectrum52,2,-0.28,2.78934423
